sentence,label
"Oh great, another Monday morning!",1
"The food was absolutely amazing!",0
"I just love waiting in traffic for hours.",1
"I enjoyed the movie a lot.",0
"Wow, my favorite show got canceled.",1
"What a beautiful day!",0
"I am so happy that it’s raining on my vacation.",1
"She did a fantastic job on the project.",0
"Yeah, because I totally needed more homework.",1
"He passed the exam with flying colors.",0
"Fantastic, my phone died right before the call.",1
"The cake tastes wonderful.",0
"I can’t wait to start my 10-hour shift.",1
"I love spending time with my family.",0
"I am thrilled to clean my room today.",1
"The book was really interesting.",0
"Oh wonderful, the printer broke again!",1
"I had a great time at the party.",0
"I love when my coffee spills on my laptop.",1
"She is very kind and helpful.",0
"Great, I lost my keys again.",1
"The weather is perfect for a picnic.",0
"I adore being stuck in an elevator.",1
"I am happy with my new job.",0
"Perfect, my internet stopped working right now.",1
"The music at the concert was amazing.",0
"I just love doing taxes on the weekend.",1
"I enjoy going for a walk in the park.",0
"Wow, my favorite snack is sold out.",1
"The flowers in the garden look beautiful.",0
"Yay, another meeting that could’ve been an email.",1
"I am proud of my team’s performance.",0
"I love when my phone battery dies mid-call.",1
"The movie had a very touching ending.",0
"Oh fantastic, it’s raining on my picnic.",1
"I like learning new things every day.",0
"I just adore stepping in a puddle of mud.",1
"He gave a very inspiring speech.",0
"Great, someone ate my lunch from the fridge.",1
"The hotel room was clean and comfortable.",0
"I love being ignored in group chats.",1
"I appreciate your help.",0
"Perfect, my car won’t start today.",1
"The sunrise this morning was stunning.",0
"Oh, I just love waking up at 5 AM.",1
"I am excited about the trip.",0
"Wonderful, the elevator stopped again.",1
"The cake she baked was delicious.",0
"I adore being put on hold forever.",1
"I enjoy reading books in my free time.",0
"Great, the traffic light turned red as I approached.",1
"The performance by the band was excellent.",0
"I love when my favorite show gets canceled.",1
"I am very satisfied with the service.",0
"Oh fantastic, it’s Monday again!",1
"The playground is perfect for kids.",0
"Yay, my flight got delayed.",1
"I am grateful for my friends.",0
"I just adore long lines at the grocery store.",1
"The painting looks beautiful in the gallery.",0
"Perfect, I forgot my wallet at home.",1
"I enjoyed the dinner with my family.",0
"I love when my email bounces back.",1
"The beach was amazing during sunset.",0
"Great, another spam call.",1
"I am happy with my test results.",0
"Oh wonderful, I stepped on a Lego.",1
"The flowers smelled wonderful.",0
"I adore being interrupted constantly.",1
"I love playing my favorite sport.",0
"Perfect, my headphones stopped working.",1
"The city park is very clean.",0
"Yay, the Wi-Fi is down again.",1
"I am impressed by the singer’s performance.",0
"I love when it rains right after I wash my car.",1
"The movie theater was comfortable.",0
"Oh fantastic, the elevator is broken.",1
"I enjoy spending weekends with family.",0
"I just adore bad customer service.",1
"The dog is very friendly.",0
"Wonderful, someone ate my dessert.",1
"I am happy with my new phone.",0
"Great, I spilled coffee on my shirt.",1
"The coffee tastes perfect.",0
"I love getting emails at midnight.",1
"I enjoy watching my favorite show.",0
"Oh wonderful, another long meeting.",1
"The hotel staff were very helpful.",0
"Perfect, my phone froze during a call.",1
"I am satisfied with my purchase.",0
"I adore waiting in long checkout lines.",1
"The playground has lots of fun activities.",0
"Great, my package got lost.",1
"I love the park near my house.",0
"I love when people talk during the movie.",1
"The cake is baked to perfection.",0
"Oh fantastic, another rainy day.",1
"I enjoy listening to music.",0
"Yay, my internet is slow again.",1
"The flowers in the vase look beautiful.",0
"I am excited about the weekend plans.",0
